AM_3,DLDA,DSGT,ECCF,DS,DLDA_Lab,BE_Lab,DS_Lab,OOPM_Lab,AM_4,AOA,COA,CG,OS,AOA_Lab,CG_Lab,PA_Lab,OS_Lab,OST_LAB,OOPM_A,AM_3_A,DS_A,DLDA_A,DIS_A,ECCF_A,DLDA_Lab_A,DS_Lab_A,OOPM_Lab_A,ECCF_Lab_A,AM_3_Tutorial_A,GPA_SEMIII,GPA_SEMIV
85,58,76,58,80,46,43,46,91,86,75,74,82,79,48,40,37,46,42,91.304,95.7,95.238,96,95.6,93.617,90,90,100,91.67,100,8.62,9.33
64,33,61,42,61,33,39,43,87,87,64,55,53,72,42,37,34,42,37,65.217,65.2,78.571,73,82.2,78.723,100,80,88.89,83.33,62.5,6.5,7.84
62,62,76,58,85,40,42,37,74,77,70,79,66,79,44,36,38,42,38,60.869,60.9,88.095,80,75.6,85.106,90,80,88.89,100,100,7.96,8.59
44,46,56,43,50,37,42,43,83,50,57,48,28,59,40,37,37,41,42,60.87,71.7,85.714,84,82.2,89.362,100,90,100,100,87.5,5.85,0
83,73,81,70,77,48,45,47,90,84,79,85,76,85,43,40,39,45,41,86.957,78.3,85.714,89,75.6,95.745,90,90,100,83.33,87.5,9.23,9.67
80,77,85,72,74,47,40,46,94,97,78,90,63,85,43,40,39,46,45,60.87,60.9,88.095,82,84.4,95.745,100,80,77.78,91.67,100,9.23,9.37
59,49,74,58,64,48,44,45,92,61,69,64,66,67,43,40,38,48,46,86.957,84.8,90.476,89,93.3,97.872,90,100,100,100,87.5,7.08,7.63
54,40,51,39,41,32,40,35,86,61,50,64,42,57,38,38,35,42,39,65.217,76.1,88.095,91,82.2,82.979,80,100,88.89,91.67,87.5,5.65,6.7
58,40,55,48,37,40,37,35,86,84,61,63,62,53,39,40,38,42,40,56.522,50,57.143,87,55.6,51.064,100,60,77.78,66.67,37.5,5.85,8
57,50,60,47,55,41,41,40,72,53,65,63,51,66,39,37,34,42,40,65.217,76.1,71.429,78,68.9,76.596,100,90,88.89,91.67,87.5,6.62,7.11
79,73,85,67,68,48,45,43,87,81,89,84,84,78,43,44,41,43,39,78.261,89.1,88.095,93,95.6,95.745,90,90,100,100,87.5,8.58,9.78
