,AM4_SE,AM4_IA,AOA_SE,AOA_IA,COA_SE,COA_IA,CG_SE,CG_IA,OS_SE,OS_IA,AOA_TW,AOA_OP,CG_TW,CG_OP,PAL_TW,PAL_OP,OS_TW,OS_OP,OPST_TW,OPST_OP,GPA_SEM_4,cluster
161,60,8,36,9,20,8,39,11,32,9,16,15,13,15,12,19,19,15,12,16,5.66,4
162,68,18,52,16,49,12,63,11,62,16,22,19,19,17,20,20,21,20,14,14,8.3,2
163,72,20,45,19,61,12,54,14,64,18,23,23,19,20,23,22,21,18,19,20,8.67,2
164,50,10,36,7,39,6,36,15,52,12,16,16,13,15,13,18,17,15,16,15,6.07,4
165,76,20,59,17,51,14,47,16,67,16,24,22,23,22,23,22,22,17,22,22,8.93,0
166,43,14,45,13,46,11,43,16,58,14,22,19,20,20,23,21,21,15,17,19,6.96,1
167,57,18,55,14,44,12,62,16,55,13,22,20,21,20,22,22,20,16,17,13,7.89,2
168,62,18,49,18,53,12,54,16,63,15,21,21,20,22,23,22,20,16,22,22,8.59,2
169,51,13,48,10,32,8,47,13,67,16,21,18,17,19,19,20,21,16,18,16,7.07,4
170,68,17,50,9,33,10,52,12,62,10,18,15,20,20,23,19,17,21,19,15,7.41,4
171,39,10,19,10,9,5,20,5,35,10,17,17,17,16,18,19,18,20,18,16,0.0,5
172,68,16,39,15,32,10,50,11,51,12,19,19,20,20,19,20,19,22,18,19,7.41,4
173,72,19,57,18,59,14,66,16,71,19,24,20,23,22,20,23,21,23,20,20,9.56,3
174,71,20,49,17,47,11,61,15,67,19,21,20,21,20,20,19,21,23,22,18,8.78,2
175,70,18,45,17,55,11,59,12,64,13,21,18,20,21,19,19,19,21,18,20,8.52,2
176,57,18,55,16,59,15,60,13,58,14,18,19,20,20,20,23,22,22,18,18,8.41,2
177,67,18,46,13,42,12,46,18,50,14,20,19,20,19,23,19,19,21,19,20,7.78,4
178,45,16,62,13,42,11,59,14,47,17,21,15,20,19,20,19,22,23,20,17,7.67,1
179,73,20,70,16,43,12,62,14,62,16,21,20,21,21,20,19,22,22,21,21,9.07,0
180,73,20,68,15,60,11,59,16,56,18,20,18,19,20,19,20,21,21,18,17,9.0,0
181,46,16,37,15,40,14,33,16,41,15,24,24,24,23,22,21,22,22,24,23,6.93,4
182,66,19,63,17,67,15,62,16,67,17,20,21,22,22,20,23,22,22,21,22,9.85,3
183,39,12,37,8,32,7,32,6,41,8,11,0,14,15,17,19,18,18,12,14,0.0,5
184,57,17,53,18,47,9,51,12,54,15,20,21,18,19,18,20,21,21,18,22,7.74,2
185,78,20,68,19,62,15,67,19,61,20,24,23,23,23,20,21,22,22,19,18,9.7,0
186,53,20,47,14,49,10,61,15,61,15,21,20,20,21,15,19,22,22,18,19,8.14,2
187,64,20,44,14,48,14,49,16,58,17,23,23,24,23,22,23,23,23,23,23,8.37,2
188,66,19,43,18,35,10,42,14,54,16,19,22,22,20,22,19,22,22,20,22,7.93,4
189,51,12,47,13,32,6,32,8,32,13,20,21,17,17,18,19,18,20,20,22,6.26,4
190,47,18,50,16,48,16,45,16,63,17,20,22,21,23,22,23,23,23,22,22,8.11,1
191,60,16,41,16,40,11,32,13,52,17,19,18,20,21,19,21,18,20,18,23,7.33,4
192,46,12,40,13,39,10,44,16,59,17,17,19,19,20,16,22,19,20,18,18,7.0,4
193,61,16,45,19,35,10,48,15,55,18,21,18,21,22,20,21,22,22,22,21,7.85,4
194,32,11,42,11,34,8,38,9,42,10,17,20,19,20,17,19,18,18,17,20,5.67,5
195,57,18,37,13,43,12,49,12,33,14,19,21,20,19,18,19,16,19,14,17,7.04,4
196,55,18,68,16,51,11,60,15,63,14,20,22,20,18,20,19,19,19,20,22,8.78,2
197,45,10,41,8,35,7,51,8,45,9,13,17,16,17,15,20,19,19,19,19,6.04,4
198,67,18,39,16,56,15,68,16,64,17,23,20,21,20,19,20,21,18,21,22,9.14,2
199,80,20,54,17,59,12,65,13,61,16,18,20,18,19,19,20,21,15,20,22,8.89,0
200,56,18,47,16,48,10,50,12,53,14,20,19,20,20,22,21,21,16,19,20,7.62,2
201,36,10,35,15,45,12,52,12,55,16,16,17,19,21,20,22,21,20,21,22,7.04,1
202,49,17,48,17,40,11,59,9,54,17,18,19,20,21,19,20,22,19,22,23,7.56,1
203,58,17,63,16,54,12,61,16,58,15,21,20,21,20,21,20,21,18,22,23,8.74,2
204,69,17,50,14,52,10,53,14,53,13,22,21,21,21,21,19,21,20,18,22,8.32,2
205,66,16,58,16,53,12,52,15,55,14,22,21,20,21,21,18,21,20,22,22,8.33,2
206,33,9,49,10,32,8,40,10,47,15,20,18,19,22,21,18,21,20,20,18,6.22,5
207,39,8,44,8,32,8,40,11,42,14,13,15,17,17,17,18,20,18,14,6,0.0,5
208,17,5,32,10,32,9,38,10,44,14,15,15,14,13,19,19,21,19,15,19,0.0,5
209,44,17,60,12,37,9,39,13,36,13,23,17,20,19,20,19,22,18,19,14,6.78,1
210,68,20,75,17,52,16,64,17,64,17,23,21,22,21,23,20,22,21,23,22,9.56,0
211,60,19,63,11,51,12,55,12,62,19,21,20,20,20,20,20,22,23,22,21,8.63,2
212,13,5,40,11,19,4,24,12,42,11,12,0,12,12,16,17,17,15,14,0,0.0,5
213,32,8,44,12,36,11,36,12,50,14,14,17,15,16,17,19,21,19,17,18,5.93,5
214,66,15,51,11,42,9,48,17,47,15,19,19,18,20,19,19,21,19,21,20,7.96,4
215,52,18,60,10,45,9,50,13,56,18,22,19,20,20,22,18,22,21,20,21,8.0,2
216,32,10,45,13,32,9,40,12,43,16,19,15,18,19,23,18,22,18,21,14,5.89,5
217,25,5,44,8,32,8,42,8,49,13,18,19,18,18,18,18,21,19,20,18,0.0,5
218,32,12,62,8,42,8,42,9,54,12,22,17,18,19,20,18,22,20,20,12,6.59,1
219,71,19,72,17,66,14,54,14,66,20,22,22,21,21,21,18,22,20,22,20,9.52,0
220,36,16,58,16,48,12,55,15,61,15,23,21,17,20,21,18,19,21,18,0,7.81,1
221,52,17,55,14,44,15,66,15,65,17,22,21,21,22,20,19,22,21,23,23,8.37,2
222,19,7,40,10,32,7,32,8,36,11,15,13,17,18,18,19,22,21,21,19,0.0,5
223,44,14,58,13,37,13,58,10,63,17,21,17,17,18,20,20,22,22,21,20,7.81,2
224,43,12,33,13,41,11,32,14,39,14,22,23,18,12,20,18,21,20,0,0,6.37,5
225,47,12,41,8,43,9,46,11,43,9,19,15,17,15,21,16,23,17,19,19,6.37,1
226,66,16,71,19,72,20,72,20,65,15,23,23,23,24,23,24,23,21,24,24,10.0,3
227,71,17,74,19,69,16,72,18,69,16,20,22,20,21,20,20,22,21,19,19,9.93,3
228,65,19,65,19,50,9,63,18,48,8,21,22,23,23,22,17,20,15,21,21,8.7,0
229,62,16,64,17,65,18,68,20,67,19,20,21,23,24,23,23,21,22,22,22,9.81,3
230,73,20,73,20,69,17,73,20,70,18,23,24,23,24,23,22,24,23,24,24,10.0,3
231,43,11,52,17,40,9,38,8,50,16,17,19,20,15,20,16,20,20,19,19,6.59,1
232,56,12,65,18,55,11,56,12,61,15,20,21,22,19,22,18,22,20,20,20,8.41,2
233,60,16,65,19,56,13,60,16,59,15,19,21,20,20,22,19,23,21,19,19,8.85,0
234,53,13,45,8,50,11,47,9,47,9,17,14,19,15,22,18,19,15,20,20,6.89,1
235,52,11,52,11,56,14,50,10,50,10,18,16,20,16,20,19,21,17,20,20,7.56,1
236,48,11,49,12,51,13,45,9,51,13,17,16,19,15,19,18,22,19,19,19,6.96,1
237,63,17,61,16,52,10,54,11,60,15,23,22,23,18,23,18,24,21,22,22,8.81,2
238,50,13,45,10,47,11,50,13,45,10,16,14,20,18,19,16,21,17,19,19,6.89,1
239,71,20,64,15,58,11,58,11,56,10,20,19,22,18,22,18,22,17,20,20,8.44,0
240,69,19,61,14,67,18,70,20,58,12,23,20,23,24,23,23,21,18,24,24,9.52,3
241,75,20,74,19,75,20,75,20,71,17,23,23,23,24,23,24,24,23,24,24,10.0,3
242,68,16,74,20,74,20,73,19,68,16,23,24,23,23,23,24,24,22,23,23,10.0,3
243,60,12,72,20,71,19,65,15,71,19,22,24,23,21,23,23,24,24,23,23,9.63,3
244,74,19,75,20,75,20,75,20,72,18,23,24,22,24,23,24,24,23,22,22,10.0,3
245,65,15,69,18,71,19,62,13,66,16,23,23,21,19,23,23,24,22,21,21,9.85,3
246,73,20,60,11,69,17,60,11,55,8,22,18,23,18,23,22,22,16,21,21,8.93,0
247,68,17,69,18,69,18,66,16,68,17,22,22,22,21,22,22,22,22,24,24,10.0,3
248,48,8,57,14,60,16,56,13,51,10,23,20,23,20,23,22,24,18,22,22,7.93,1
249,60,15,49,8,58,14,66,19,51,9,22,16,22,23,23,21,22,17,23,23,8.41,2
250,41,9,48,14,41,9,39,8,45,12,22,20,21,16,22,17,22,19,20,20,6.78,1
251,55,12,57,13,54,11,49,8,57,13,22,19,21,16,22,18,23,20,20,20,7.74,2
252,64,19,59,16,56,14,58,15,52,11,21,21,23,21,23,20,24,19,21,21,8.81,2
253,52,15,47,12,44,10,46,11,52,15,20,18,21,17,22,17,24,21,19,19,7.04,1
254,64,16,70,20,58,12,57,11,67,18,20,23,23,18,23,19,24,23,23,23,9.26,0
255,65,17,69,20,66,18,59,13,60,14,22,24,23,20,23,23,22,20,21,21,9.41,0
256,68,19,68,19,65,17,63,16,66,18,22,23,23,22,22,22,21,22,20,20,9.85,3
257,67,20,60,15,64,18,52,10,67,20,21,20,22,17,23,23,22,24,20,20,9.37,0
258,61,13,70,19,68,18,68,18,65,16,22,23,23,23,23,23,23,22,24,24,9.73,3
259,61,17,53,12,61,17,56,14,61,17,23,19,23,20,23,22,21,21,22,22,8.78,2
260,72,20,72,20,71,19,71,19,60,12,22,24,22,23,23,23,22,19,22,22,9.7,3
261,47,8,61,17,58,15,52,11,61,17,19,20,20,17,23,21,21,21,19,19,8.14,2
262,76,20,66,13,75,19,76,20,73,18,23,20,23,24,23,23,24,23,23,23,9.85,3
263,58,16,52,12,51,11,51,11,60,17,22,19,23,18,23,18,23,22,20,20,8.15,2
264,57,14,63,18,63,18,62,17,54,12,23,23,23,22,23,23,24,20,22,22,9.04,0
265,63,16,68,19,60,14,68,19,62,15,23,23,23,23,23,20,24,21,24,24,9.37,3
266,55,12,67,20,55,12,61,16,57,13,22,24,23,22,23,19,23,20,21,21,8.66,2
267,58,12,70,20,66,17,66,17,66,17,20,23,20,21,23,22,23,22,21,21,9.63,3
268,43,10,43,10,46,12,42,9,42,9,17,15,19,15,19,17,18,15,18,18,6.33,1
269,66,18,68,19,63,16,65,17,54,10,23,23,23,22,23,22,23,18,23,23,9.41,0
270,48,8,59,15,54,12,59,15,48,8,20,19,20,19,22,19,22,16,19,19,7.54,1
271,71,20,70,19,70,19,68,18,68,18,22,23,22,22,23,23,22,22,21,21,10.0,3
272,62,15,68,19,63,16,65,17,62,15,21,22,23,22,22,21,22,20,22,22,9.52,0
273,55,16,51,13,57,17,48,11,52,14,20,18,22,18,23,22,23,20,21,21,7.81,2
274,55,11,56,12,62,16,50,8,65,18,21,18,20,15,23,22,21,22,19,19,8.07,2
275,64,18,52,10,60,15,66,19,67,20,19,16,20,22,21,20,21,23,21,21,9.33,2
