AM4_SE,AM4_IA,AM4_TOT,AOA_SE,AOA_IA,AOA_TOT,COA_SE,COA_IA,COA_TOT,CG_SE,CG_IA,CG_TOT,OS_SE,OS_IA,OS_TOT,AOA_TW,AOA_OP,AOAL_TOT,CG_TW,CG_OP,CGL_TOT,PAL_TW,PAL_OP,PAL_TOT,OS_TW,OS_OP,OSL_TOT,OPST_TW,OPST_OP,OPST_TOT,GPA_SEM_4
68,17,,50,9,,33,10,,52,12,,62,10,,18,15,,20,20,,23,19,,17,21,,19,15,,7.41
39,10,,19,10,,9,5,,20,5,,35,10,,17,17,,17,16,,18,19,,18,20,,18,16,,0
68,16,,39,15,,32,10,,50,11,,51,12,,19,19,,20,20,,19,20,,19,22,,18,19,,7.41
72,19,,57,18,,59,14,,66,16,,71,19,,24,20,,23,22,,20,23,,21,23,,20,20,,9.56
71,20,,49,17,,47,11,,61,15,,67,19,,21,20,,21,20,,20,19,,21,23,,22,18,,8.78
70,18,,45,17,,55,11,,59,12,,64,13,,21,18,,20,21,,19,19,,19,21,,18,20,,8.52
57,18,,55,16,,59,15,,60,13,,58,14,,18,19,,20,20,,20,23,,22,22,,18,18,,8.41
67,18,,46,13,,42,12,,46,18,,50,14,,20,19,,20,19,,23,19,,19,21,,19,20,,7.78
45,16,,62,13,,42,11,,59,14,,47,17,,21,15,,20,19,,20,19,,22,23,,20,17,,7.67
73,20,,70,16,,43,12,,62,14,,62,16,,21,20,,21,21,,20,19,,22,22,,21,21,,9.07
73,20,,68,15,,60,11,,59,16,,56,18,,20,18,,19,20,,19,20,,21,21,,18,17,,9
46,16,,37,15,,40,14,,33,16,,41,15,,24,24,,24,23,,22,21,,22,22,,24,23,,6.93
66,19,,63,17,,67,15,,62,16,,67,17,,20,21,,22,22,,20,23,,22,22,,21,22,,9.85
39,12,,37,8,,32,7,,32,6,,41,8,,11,0,,14,15,,17,19,,18,18,,12,14,,0
57,17,,53,18,,47,9,,51,12,,54,15,,20,21,,18,19,,18,20,,21,21,,18,22,,7.74
78,20,,68,19,,62,15,,67,19,,61,20,,24,23,,23,23,,20,21,,22,22,,19,18,,9.7
53,20,,47,14,,49,10,,61,15,,61,15,,21,20,,20,21,,15,19,,22,22,,18,19,,8.14
64,20,,44,14,,48,14,,49,16,,58,17,,23,23,,24,23,,22,23,,23,23,,23,23,,8.37
66,19,,43,18,,35,10,,42,14,,54,16,,19,22,,22,20,,22,19,,22,22,,20,22,,7.93
